instance,solver,time,val
100_40_3_00,BinP,3.20,3303.00
100_40_3_00,3Idx,4.08,3303.00
100_40_3_00,3Cap,0.19,3316.00
100_40_3_01,BinP,3.40,3306.00
100_40_3_01,3Idx,5.41,3306.00
100_40_3_01,3Cap,0.17,3342.00
100_40_3_02,BinP,2.81,3301.00
100_40_3_02,3Idx,3.34,3301.00
100_40_3_02,3Cap,0.14,3324.00
100_40_3_03,BinP,3.88,3306.00
100_40_3_03,3Idx,10.02,3468.00
100_40_3_03,3Cap,0.14,3332.00
100_40_3_04,BinP,3.50,3300.00
100_40_3_04,3Idx,4.85,3300.00
100_40_3_04,3Cap,0.10,3324.00
100_40_3_05,BinP,3.58,3305.00
100_40_3_05,3Idx,5.49,3305.00
100_40_3_05,3Cap,0.08,3328.00
100_40_3_06,BinP,3.47,3303.00
100_40_3_06,3Idx,3.32,3303.00
100_40_3_06,3Cap,0.10,3353.00
100_40_3_07,BinP,3.05,3303.00
100_40_3_07,3Idx,3.41,3303.00
100_40_3_07,3Cap,0.10,3352.00
100_40_3_08,BinP,3.67,3311.00
100_40_3_08,3Idx,3.74,3311.00
100_40_3_08,3Cap,0.09,3338.00
100_40_3_09,BinP,2.53,3304.00
100_40_3_09,3Idx,10.01,3304.00
100_40_3_09,3Cap,0.08,3316.00
100_40_3_10,BinP,2.99,3306.00
100_40_3_10,3Idx,9.14,3306.00
100_40_3_10,3Cap,0.08,3336.00
100_40_3_11,BinP,2.83,3301.00
100_40_3_11,3Idx,10.01,3464.00
100_40_3_11,3Cap,0.07,3322.00
100_40_3_12,BinP,2.54,3303.00
100_40_3_12,3Idx,2.69,3303.00
100_40_3_12,3Cap,0.07,3337.00
100_40_3_13,BinP,2.87,3302.00
100_40_3_13,3Idx,8.98,3302.00
100_40_3_13,3Cap,0.06,3346.00
100_40_3_14,BinP,2.91,3305.00
100_40_3_14,3Idx,5.08,3305.00
100_40_3_14,3Cap,0.06,3354.00
100_40_3_15,BinP,3.13,3304.00
100_40_3_15,3Idx,4.17,3304.00
100_40_3_15,3Cap,0.06,3325.00
100_40_3_16,BinP,2.17,3302.00
100_40_3_16,3Idx,3.81,3302.00
100_40_3_16,3Cap,0.06,3327.00
100_40_3_17,BinP,3.01,3305.00
100_40_3_17,3Idx,5.49,3305.00
100_40_3_17,3Cap,0.06,3326.00
100_40_3_18,BinP,2.91,3305.00
100_40_3_18,3Idx,3.25,3305.00
100_40_3_18,3Cap,0.05,3369.00
100_40_3_19,BinP,3.95,3310.00
100_40_3_19,3Idx,5.26,3310.00
100_40_3_19,3Cap,0.05,3336.00
