instance,solver,time,val
500_201_3_00,3Cap,7.18,211768.08
500_201_3_00,OPT,1134.02,211719.6
500_201_3_00,3Cap + TS,409.52,211748.72
500_201_3_01,3Cap,6.73,211748.64
500_201_3_01,OPT,1160.14,211713.46
500_201_3_01,3Cap + TS,395.62,211738.96
500_201_3_02,3Cap,6.87,211771.62
500_201_3_02,OPT,1330.76,211717.08
500_201_3_02,3Cap + TS,344.01,211771.62
500_201_3_03,3Cap,7.20,211751.08
500_201_3_03,OPT,924.14,211706.22
500_201_3_03,3Cap + TS,341.16,211729.28
500_201_3_04,3Cap,6.57,211804.36
500_201_3_04,OPT,1001.98,211729.2
500_201_3_04,3Cap + TS,761.96,211765.64
500_201_3_05,3Cap,6.88,211768.0
500_201_3_05,OPT,1159.75,211714.72
500_201_3_05,3Cap + TS,376.42,211768.0
500_201_3_06,3Cap,6.40,211737.7
500_201_3_06,OPT,2021.4,211735.26
500_201_3_06,3Cap + TS,404.32,211737.7
500_201_3_07,3Cap,6.57,211753.44
500_201_3_07,OPT,1113.26,211704.96
500_201_3_07,3Cap + TS,395.05,211743.76
500_201_3_08,3Cap,7.02,211715.82
500_201_3_08,OPT,1323.97,211689.14
500_201_3_08,3Cap + TS,544.17,211691.58
500_201_3_09,3Cap,6.49,211734.08
500_201_3_09,OPT,1168.83,211702.6
500_201_3_09,3Cap + TS,915.35,211714.8
500_201_3_10,3Cap,6.60,211711.02
500_201_3_10,OPT,1107.1,211704.96
500_201_3_10,3Cap + TS,410.85,211711.02
500_201_3_11,3Cap,6.43,211738.96
500_201_3_11,OPT,866.96,211728.1
500_201_3_11,3Cap + TS,402.19,211738.96
500_201_3_12,3Cap,6.99,211769.26
500_201_3_12,OPT,1094.45,211717.16
500_201_3_12,3Cap + TS,401.46,211758.4
500_201_3_13,3Cap,6.71,211728.02
500_201_3_13,OPT,1004.42,211713.46
500_201_3_13,3Cap + TS,366.02,211728.02
500_201_3_14,3Cap,6.40,211748.56
500_201_3_14,OPT,974.36,211708.58
500_201_3_14,3Cap + TS,376.01,211736.44
500_201_3_15,3Cap,6.62,211751.08
500_201_3_15,OPT,1290.07,211726.84
500_201_3_15,3Cap + TS,336.86,211751.08
500_201_3_16,3Cap,6.76,211759.58
500_201_3_16,OPT,939.73,211738.96
500_201_3_16,3Cap + TS,295.61,211759.58
500_201_3_17,3Cap,6.97,211734.08
500_201_3_17,OPT,850.28,211713.46
500_201_3_17,3Cap + TS,391.68,211720.78
500_201_3_18,3Cap,6.79,211768.08
500_201_3_18,OPT,1298.93,211717.16
500_201_3_18,3Cap + TS,681.9,211742.66
500_201_3_19,3Cap,7.06,211772.88
500_201_3_19,OPT,1150.64,211723.22
500_201_3_19,3Cap + TS,441.08,211754.7
